Start Time:  11/12/2015 4:14:15 PM        Time Completed:  11/12/2015 4:39:12 PM    Elapsed Time:  00:24:56
Sample ID:     CI_A_01

Experiment:    C:\IDEASVSM\students\Experiments\hysteresis loop to 10000\hysteresis loop to 10000.exp
Data File:     C:\IDEASVSM\students\CI_A_01#1.txt
Plot File:     C:\IDEASVSM\students\CI_A_01#1.oc2
VSM Exp File:  C:\IDEASVSM\students\Experiments\hysteresis loop to 10000\hysteresis loop to 10000.stp
VSM Data File: C:\IDEASVSM\students\CI_A_01#1.dat

***DATA***

Field(G)	 Moment(emu)	
 9924.1 	 9.1508 	
 9648 	 9.1454 	
 9232.3 	 9.1359 	
 8823.4 	 9.1245 	
 8413.7 	 9.1094 	
 8008.7 	 9.0888 	
 7605.2 	 9.0521 	
 7202.6 	 8.959 	
 6801.3 	 8.7327 	
 6401 	 8.3784 	
 6000.4 	 7.9649 	
 5600.6 	 7.5183 	
 5200.3 	 7.0385 	
 4800.3 	 6.5229 	
 4399.8 	 5.9822 	
 3999.9 	 5.4378 	
 3599.9 	 4.8942 	
 3199.8 	 4.3497 	
 2799.5 	 3.8054 	
 2399.5 	 3.262 	
 1999.6 	 2.7206 	
 1599.1 	 2.1688 	
 1199.4 	 1.6278 	
 799.38 	 1.0866 	
 399.13 	 0.5454 	
-0.94954 	 0.0048377 	
-400.94 	-0.53601 	
-801.14 	-1.0762 	
-1200.8 	-1.6166 	
-1600.8 	-2.1575 	
-2000.7 	-2.6989 	
-2401 	-3.2504 	
-2800.6 	-3.7914 	
-3200.5 	-4.3331 	
-3600.8 	-4.8748 	
-4000.6 	-5.4152 	
-4400.5 	-5.9549 	
-4800 	-6.4884 	
-5199.6 	-7.0045 	
-5599.9 	-7.4893 	
-5999 	-7.9393 	
-6399.2 	-8.3546 	
-6798.3 	-8.7122 	
-7197.7 	-8.9437 	
-7596.6 	-9.0405 	
-7994.8 	-9.0798 	
-8391.5 	-9.1029 	
-8785.9 	-9.1205 	
-9178.5 	-9.1353 	
-9566.6 	-9.1488 	
-9958.5 	-9.1612 	
-9646.2 	-9.156 	
-9234.7 	-9.1445 	
-8824.5 	-9.1314 	
-8412.9 	-9.1148 	
-8007.5 	-9.093 	
-7604.8 	-9.0555 	
-7203 	-8.9615 	
-6802.3 	-8.7337 	
-6401.5 	-8.3777 	
-6000.8 	-7.9638 	
-5600.7 	-7.515 	
-5200.5 	-7.0342 	
-4800 	-6.5169 	
-4399.8 	-5.9775 	
-4000 	-5.434 	
-3599.6 	-4.8894 	
-3199.9 	-4.3462 	
-2799.6 	-3.8016 	
-2399.5 	-3.2576 	
-1999.4 	-2.714 	
-1599.5 	-2.1648 	
-1199.5 	-1.6228 	
-799.43 	-1.081 	
-399.31 	-0.53982 	
 0.73267 	 0.00073034 	
 400.78 	 0.5414 	
 800.85 	 1.083 	
 1200.9 	 1.6243 	
 1600.9 	 2.1658 	
 2000.9 	 2.7073 	
 2400.6 	 3.2541 	
 2800.5 	 3.7959 	
 3200.6 	 4.338 	
 3600.4 	 4.8794 	
 4000.2 	 5.4202 	
 4400 	 5.9602 	
 4800.2 	 6.4955 	
 5199.8 	 7.0112 	
 5599.4 	 7.4938 	
 5999.7 	 7.9436 	
 6398.5 	 8.357 	
 6798.8 	 8.7143 	
 7197 	 8.943 	
 7596.5 	 9.0384 	
 7994.2 	 9.0768 	
 8389.7 	 9.0991 	
 8784.9 	 9.1156 	
 9176.4 	 9.1293 	
 9570.8 	 9.1412 	
 9954.3 	 9.1521 	

	
	
