#Hours	Temp(C)
0	20.333475
1	20.0747083333
2	19.7602916667
3	19.5964138889
4	19.4958277778
5	19.5642916667
6	19.7880583333
7	19.8331111111
8	19.8627833333
9	19.9403666667
10	20.026525
11	20.1310583333
12	20.0978472222
13	20.10615
14	20.2233416667
15	20.5694722222
16	20.3120861111
17	20.1442611111
18	20.0642277778
19	20.0100555556
20	19.9651388889
21	19.9116472222
22	19.8469944444
23	19.7586583333
24	19.5529944444
25	19.3740083333
26	19.2805
27	19.1923
28	19.127375
29	19.2622611111
30	19.5446916667
31	19.583075
32	19.6809388889
33	19.6395611111
34	19.4669722222
35	19.6187361111
36	20.2013277778
37	21.1337111111
38	21.7998111111
39	21.6356888889
40	20.9639611111
41	20.2584583333
42	19.8506694444
43	19.6972722222
44	19.6599777778
45	19.5342111111
46	19.5501361111
47	19.502225
48	19.7488583333
49	19.8204527778
50	19.8663222222
51	19.6926444444
52	19.62595
53	19.6518111111
54	19.6632444444
55	19.5306722222
56	19.5674222222
57	19.6563027778
58	19.6338444444
59	19.4675166667
60	19.24865
61	19.1893055556
62	19.1335
63	19.0789194444
64	19.031825
65	18.9688055556
66	18.9438972222
67	18.8940805556
68	18.9323277778
69	19.1168944444
70	19.460575
71	19.3228305556
72	19.4926972222
73	19.5191027778
74	19.4566277778
75	19.4240972222
76	19.5464611111
77	19.4755472222
78	19.2950638889
79	19.1736527778
80	19.3639361111
81	19.2995555556
82	19.3149361111
83	19.4370277778
84	19.5117527778
85	19.4477805556
86	19.4498222222
87	19.2986027778
88	19.4724166667
89	19.4100777778
90	19.3501888889
91	19.3594444444
92	19.3937444444
93	19.4841222222
94	19.5859333333
95	19.4058583333
96	19.5155638889
97	19.4758194444
98	19.2696111111
99	19.3280027778
100	18.8049388889
101	18.6725472222
102	18.5709777778
103	18.4842388889
104	18.6149138889
105	18.8723055556
106	18.8895916667
107	18.9564222222
108	19.0399916667
109	19.0463888889
110	19.0620416667
111	19.0086861111
112	18.9609111111
113	18.9078277778
114	18.8306555556
115	18.793225
116	18.7476527778
117	18.7159361111
118	18.7776111111
119	18.7775861111
120	18.7669777778
121	18.3706138889
122	18.2569277778
123	18.1737722222
124	18.0876722222
125	18.1128055556
126	18.1293666667
127	18.1295111111
128	18.4973638889
129	19.0570055556
130	19.264575
131	19.3832638889
132	19.4108944444
133	19.4114388889
134	19.4393416667
135	19.4457388889
136	19.4333527778
137	19.4055861111
138	19.3868027778
139	19.3482833333
140	19.2162555556
141	18.9181777778
142	18.7439861111
143	18.7238361111
144	18.7302444444
145	18.7964972222
146	18.852975
147	18.8574666667
148	18.8513444444
149	18.8674138889
150	19.1468388889
151	19.2227888889
152	19.3697888889
153	19.5348916667
154	19.4129361111
155	19.3829916667
